Id,Composer,Piece,#Bars,#Notes,#Fingering,Fingering 1,2,3,4,5,6,7,8
001,Bach,Two-part invention in C major,22,469,4,YI,ES,,,HI,,,NH
002,Bach,Two-part invention in F major,34,596,4,YI,ES,,,HI,,,NH
003,Bach,"Well-Tempered Clavier, Book I, Prelude No. 23 in B major",19,417,4,YI,ES,,,HI,,,NH
004,Bach,"Well-Tempered Clavier, Book II, Fugue No. 2 in C minor",14,282,4,YI,ES,,,HI,,,NH
005,Bach,"Well-Tempered Clavier, Book II, Fugue No. 19 in A major",14,313,4,YI,ES,,,HI,,,NH
006,Bach,Partita No. 6 Corrente,38,348,4,YI,ES,,,HI,,,NH
007,Bach,French Suite No. 1 Allemande,12,281,4,YI,ES,,,HI,,,NH
008,Bach,French Suite No. 5 Sarabande,16,171,4,YI,ES,,,HI,,,NH
009,Bach,English Suite No. 3 Prelude,33,393,4,YI,ES,,,HI,,,NH
010,Bach,"Goldberg Variations, Variation 13",16,387,4,YI,ES,,,HI,,,NH
011,Mozart,"Piano Sonata K 283 in G major, 1st mov.",22,272,6,ES,,HI,HK,YI,YS,EF,
012,Mozart,"Piano Sonata K 310 in A minor, 1st mov.",16,440,6,ES,,HI,HK,YI,YS,EF,
013,Mozart,"Piano Sonata K 330 in C major, 1st mov.",18,286,6,ES,,HI,HK,YI,YS,EF,
014,Mozart,"Piano Sonata K 330 in C major, 2nd mov.",19,289,6,ES,,HI,HK,YI,YS,EF,
015,Mozart,"Piano Sonata K 331 in A major, 3rd mov.",26,269,6,ES,,HI,HK,YI,YS,EF,
016,Mozart,"Piano Sonata K 332 in F major, 1st mov.",22,181,6,ES,,HI,HK,YI,YS,EF,
017,Mozart,"Piano Sonata K 545 in C major, 1st mov.",12,193,6,ES,,HI,HK,YI,YS,EF,
018,Mozart,"Piano Sonata K 570 in Bb major, 1st mov.",22,150,6,ES,,HI,HK,YI,YS,EF,
019,Mozart,"Piano Sonata K 570 in Bb major, 2nd mov.",12,213,6,ES,,HI,HK,YI,YS,EF,
020,Mozart,"Piano Sonata K 576 in D major, 2nd mov.",16,253,6,ES,,HI,HK,YI,YS,EF,
021,Chopin,Ballade No. 2,20,312,5,HI,,EF,YoI,EN,ES,,
022,Chopin,Etude Op. 10 No. 3,21,455,5,HI,,EF,YoI,EN,ES,,
023,Chopin,Nocturne Op.9 No. 2,13,430,5,HI,,EF,YoI,EN,ES,,
024,Chopin,Mazurka Op.7 No. 1,24,278,5,HI,,EF,YoI,EN,ES,,
025,Chopin,Waltz Op. 64 No. 1,36,393,5,HI,,EF,YoI,EN,ES,,
026,Chopin,Polonaise Op. 40 No. 1,15,591,5,HI,,EF,YoI,EN,ES,,
027,Chopin,Grande Valse Brillante Op. 18,32,380,5,HI,,EF,YoI,EN,ES,,
028,Chopin,Prelude Op. 28 No. 17,18,458,5,HI,,EF,YoI,EN,ES,,
029,Chopin,Scherzo No. 3,49,377,5,HI,,EF,YoI,EN,ES,,
030,Chopin,"Piano Sonata No. 3, 1st mov.",16,348,5,HI,,EF,YoI,EN,ES,,
031,Chopin,Etude Op. 10 No. 12,84,2082,1,TH,,,,,,,
032,Bach,Two-part invention in C minor,27,691,2,,EN,YoI,,,,,
033,Bach,Two-part invention in D major,60,525,1,EN,,,,,,,
034,Beethoven,"Piano Sonata No. 8, 1st mov.",132,2059,1,,,,YI,,,,
035,Debussy,Arabesque No. 1,16,218,1,EN,,,,,,,
036,Debussy,Arabesque No. 2,19,323,1,YoI,,,,,,,
037,Debussy,Clair de Lune,8,79,1,YoI,,,,,,,
038,Debussy,La Fille aux Cheveux de Lin,10,114,1,YoI,,,,,,,
039,Ravel,Pavane pour une Infante Defunte,12,187,1,YoI,,,,,,,
040,Schumann,Kreisleriana Op. 16 No. 8,24,289,1,YoI,,,,,,,
041,Bach,Sinfonia No. 12,14,334,1,AiY,,,,,,,
042,Bach,"Well-Tempered Clavier, Book I, Prelude No. 2 in C minor",18,576,1,AiY,,,,,,,
043,Bach,"Well-Tempered Clavier, Book I, Prelude No. 7 in Eb major",16,174,2,YoI,AiY,,,,,,
044,Bach,"Well-Tempered Clavier, Book II, Prelude No. 11 in F major",16,251,1,EN,,,,,,,
045,Bach,"Italian Converto, 1st mov.",30,331,2,YS,AiY,,,,,,
046,Bach,French Suite No. 3 Minuet,16,145,2,YS,AiY,,,,,,
047,Bach,French Suite No. 5 Gavotte,24,327,2,YS,AiY,,,,,,
048,Bach,English Suite No. 2 Prelude,18,322,2,YS,AiY,,,,,,
049,Bach,Partita No. 2-6,21,253,2,YS,EF,,,,,,
050,Bach,Partita No. 4-2,10,208,2,YS,AiY,,,,,,
051,Mozart,"Piano Sonata K 279 in C major, 1st mov.",14,276,1,YS,,,,,,,
052,Mozart,"Piano Sonata K 280 in F major, 2nd mov.",10,152,1,YS,,,,,,,
053,Mozart,"Piano Sonata K 281 in Bb major, 1st mov.",14,245,1,YS,,,,,,,
